Seuil (min),Locations bloquees,% Bloquees,Problemes resolus,% Problemes resolus
0,0,0.0,0,0.0
30,279,15.154807170016296,116,53.21100917431193
60,401,21.78164041281912,146,66.97247706422019
90,584,31.721890277023356,172,78.89908256880734
120,666,36.17599130907116,180,82.56880733944955
180,870,47.256925583921785,196,89.90825688073394
240,1001,54.372623574144484,202,92.66055045871559
300,1106,60.07604562737643,207,94.95412844036697
360,1170,63.55241716458446,208,95.41284403669725
480,1290,70.07061379684953,211,96.78899082568807
720,1711,92.93862031504617,216,99.08256880733946
